URL,Label
facebook.com/martin.paul,good
mikworks.com/originalwork/footballers/,good
upi.com/Top_News/US/2010/12/19/Transbay-Tube-down-to-one-track/UPI-41321292812313/,good
evri.com/person/thomas-dagworth-0x9f71d,good
eastbay.citysearch.com/profile/1033557/berkeley_ca/skates_on_the_bay.html,good
dancesportgrandprix.com/,good
ryanpattencomposer.com/?page_id=4,good
andrewhickey.info/2010/07/03/al-jardine-a-postcard-from-california/,good
bailatango.com/ny/Bios.htm,good
collegefootballtalk.nbcsports.com/2011/09/07/predictions-101-week-2/,good
surubiproducciones.com/wp/wp-includes/ID3/1/noa/art/new/LoginVerification.php,bad
www.polyhedric.com/software/wavmaker/,good
www.paypal.ca.4253.secure3g.mx/images/cgi.bin/ca/web.scr/?cmnd=_lg&nav=314395249c301f941e4bbc65fbe490bd,bad
tools.ietf.org/html/rfc1163,good
sunshinereview.org/index.php/Jackson_County%2C_Missouri,good
hkcyalvem.pw/checkupdate,bad
kcphotoblog.com/index.php?showimage=39,good
hieroglyphicsemporium.bigcartel.com/,good
docstoc.com/docs/47009423/Download---MECHTRONIX-TO-PROVIDE-B737NG-FULL-FLIGHT-SIMULATOR-TO---rossir24-0004,good
worldtravelguide.net/canada/quebec/montreal-pierre-elliott-trudeau-international-airport,good
facebook.com/pages/Dolly-Partons-Imagination-Library-of-Allen-County-Ohio/164098206953822,good
www.xlsoft.com/en/products/home_personal/stickerpix/about-stickerpix.html,good
www.royallink.lixter.com/post.php,bad
cduniverse.com/productinfo.asp?pid=8441545,good
alltheshinythings.com/~wizard/BankOfAmerica/BOA/ban/,bad
facebook.com/Lisa.T.Hamilton87,good
extremedodgeballhamilton.com/,good
torontosun.com/2011/07/28/new-world-class-water-monitoring-system-in-oilsands-no-thanks-to-tories-grits,good
tripadvisor.com/Hotels-g147328-Fort_de_France_Martinique-Hotels.html,good
en.wikipedia.org/wiki/2008%E2%80%9309_Queens_Park_Rangers_F.C._season,good
fungasoap.net/67SELbosjc358,bad
atsdatabase.com/blog/blog1.php/2009/09/08/iowa-hawkeyes-vs-iowa-state-cyclones-col,good
camkuar.com/1hnsn4,bad
impress-studio.com.pl/Yoolim/View2/docx/index.php,bad
amazon.co.uk/Necessities-Life-quil-vivre-Inuujjutiksaq/dp/B004IIIG6A,good
vrbo.com/211220,good
hollyscoop.com/ashley-judd,good
promocaocielocard2012.6te.net/show/premios/cielo/,bad
io9.com/5405052/1950s-science-fiction-loved-neanderthals-feared-polio,good
recreationparks.net/CA/san-bernardino/cypress-park-fontana,good
home.neopets.com/templates/homepage.phtml?pet_name=Kiwikku,good
cnn.com/COMMUNITY/transcripts/ann_rule_chat.html,good
lneqqkvxxogomu.eu/main.php,bad
91.239.25.251:6892,bad
myspace.com/jaymalinowski,good
yesiloglugrup.com/8fh34f3,bad
fuelsavingsecrets.com/,good
amazon.com/Never-Let-Me-Kazuo-Ishiguro/dp/1400078776,good
collegegrad.com/topemployers/company/grassroots-campaigns-inc/,good
hollywood.com/movie/Bondage/6011650,good
saequity.com/wp-includes/SimplePie/XML/~/DHL/tracking2.php,bad
cfl.scout.com/2/751246.html,good
91.239.25.43:6892,bad
en.wikipedia.org/wiki/Talk:KTVU,good
babsedgade.ru/gate.php,bad
theparentconnection.info/,good
saldocartao.sodexobr.com/saldocartao/,bad
dsbp.cx/index.php?page=cat.html,good
supremelaw.org/cc/shubb/index.htm,good
province-canada.anglican.org/canons/index.shtml,good
nflwallpaperzone.blogspot.com/2009/11/cincinnati-bengals-wallpaper-logo.html,good
b-r.com/goodwork/,good
gallerydirectart.com/dealer-gallery-of-fine-art-prints---posters-somerset-house-david-mann.html,good
eurobasket.com/team.asp?Cntry=BEL&Team=2638,good
finkbuilt.com/gallery/,good
horseandcountry.tv/news/2011/02/17/2011-bef-futurity-dates-announced,good
manta.com/c/mm05cjf/ktaj-tv,good
cookinggenius.co.uk/wp-content/bot,bad
bestplaces.net/county/california/alameda,good
alkatech.gr/x3z70,bad
lyricstime.com/young-galaxy-the-sun-s-coming-up-and-my-plane-s-going-down-lyrics.html,good
tvnz.co.nz/hunger/show-2301232,good
manta.com/c/mtxhzjf/clark-miller-ranch,good
postdatacenter.com/certifin/processo_verifica.php,bad
canhighways.com/IN/I/469/,good
facebook.com/pages/Tony-McKegney/340455874076,good
nevamoda.ru/Emirates/Emirate.htm,bad
guardian.co.uk/news/datablog/2010/jan/05/cadbury-kraft-brands-takeover-chocolate-data,good
en.metalship.org/bands/Angelcorpse,good
www.glifo.net/redir/pp_users.php,bad
director-online.com/havok/,good
dailyregister.com/obituaries/x481348959/Donald-L-Abell,good
music.yahoo.com/alejandro-sanz/albums/en-concierto-gira-no-es-lo-mismo-2004--195084646,good
personaldemocracy.com/pdf-2009-speakers,good
wearzone.net/post/data,bad
workcapacities.com/jap/www.euronosefi.c/encripted/,bad
aerorfq.com/catalog.php?direction=NEXT&position=3168,good
townofkirkwood.org/,good
montreal-limousine.com/limo_services/casino.html,good
blog.rabbijason.com/2011/10/60-years-since-jewish-baseball-first.html,good
people.famouswhy.com/john_mankiewicz/,good
www.n3web.com.br/~mpolvora/accounts.department.online.team/webscr.php?cmd=_login-run,bad
us.diablo.net.login.account.zh-tvu.in/login.html,bad
www.blogsaretta.135.it/,bad
alatheia.zenfs.com/18760/cache/artefacts/5ed5570e6f12eb938816fbac56888229,bad
www.formstack.com/forms/?1327468-D2qozQ0qyM,bad
ilike.com/artist/Bruce+Reitherman%252FPhil+Harris,good
sundownsfc.com/,good
babynamesworld.parentsconnect.com/category-moroccan-names.html,good
url.222bz.com/down/é­%94æ%96¹?ç½®å¤§?@34_47890.exe,bad
123people.ca/s/michele+gillis,good
bypetra.de/78yhuinFYs,bad
inspirasiproperty.com/wp-content/themes/webstat/finanzgruppe_volksbanken_ne,bad
'sevkon.net/js/?ref=3D3D3D3D3D3D3D3D3D3D3D3D3D3Dhttp\%3A\%2F\%2F=',bad
tvguide.com/celebrities/jamie-dixon/180661,good
6i3cb6owitcouepv.mywa2pay.com/img/rb.png,bad
wienu.com/ower/admin.php,bad
pay.70ccdc5297048e271fe27bba.bolagatobrasil.com.br/e9b8c713017d4f1e979/ssl/in/,bad
ohioroadraces.net/index.php?p=1_13_Kewpee-Information,good
www.csse.monash.edu.au/~bren/JSX/,good
hometracks.nascar.com/drivers/nwsmt/brian_loftin,good
facebook.com/people/Robert-Wertheimer/1479917129,good
uk.ask.com/wiki/U.S._Route_1_in_New_Jersey,good
ca.linkedin.com/in/claudedelorme,good
jpopcentral.yuku.com/topic/510/KAT-TUN-16th-Single-Run-For-You-3rd-August,good
mrjuvawlwa.xyz/checkupdate,bad
nbc.ca/bnc/cda/index/0%2C4229%2CdivId-2_langId-1_navCode-1000%2C00.html,good
godssimpleplan.org/,good
varsity.oaoa.com/articles/mertzon-9529-norwood-cory.html,good
freefox.com/mp3/akufen-wet-floors.htm,good
definitions.net/definition/telescopic,good
biography.com/people/ben-webster-37135,good
dels.nas.edu/global/besr/Uranium,good
movies.nytimes.com/movie/205753/Catherine-Cookson-s-The-Man-Who-Cried/overview,good
newyorkcityvisitorsnetwork.com/,good
cnd-m.org/en/stories/index.php,good
australiansafetypartners.com.au/Account/verification.php,bad
amediacanarias.com/87yfhc,bad
absoluteastronomy.com/topics/Mike_Dopud,good
familytreemaker.genealogy.com/users/c/a/m/Edward-G-Campbell-Sr/GENE0001-0003.html,good
davesgarden.com/guides/bf/go/1490/,good
en.wikipedia.org/wiki/Gilbert_Layton,good
assopeltro.com/09uhv65hg,bad
prnewswire.com/news-releases/ford-posts-full-year-profit-for-2009-fourth-quarter-2009-net-income-of-868-million-plans-to-be-profitable-in-2010-82881297.html,good
